id,ing_desc,Unidade sugerida,Porção,red meat tokens,white meat tokens,fish tokens,seafish tokens,veggies tokens,legumes tokens,fruit tokens,healthy_fat,spice tokens,dairy tokens,other protein,carbs,fermented,nuts,sugar,oily tokens,,,,,
1,sal,g,,0,0,0,0,0,0,,,,,,,,,,,,,,,
2,carne picada (vaca),g,,1.1,0,0,0,0,0,,,,,,,,,,,,,,,
3,aipo,g,,0,0,0,0,1,0,,,,,,,,,,,,,,,
4,cenoura,g,100g,0,0,0,0,1,0,,,,,,,,,,,,,,100,
5,cebola amarela,g,140g,0,0,0,0,1,0,,,,,,,,,,,,,,90,1
6,pancetta,g,,1.1,0,0,0,0,0,,,,,,,,,,,,,,,
7,concentrado de tomate,g,,0,0,0,0,5.5,0,,,,,,,,,,,,,,,
8,vinho tinto,ml,,0,0,0,0,0,0,2,,,,,,2,,,,,,,,
9,pimenta preta,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
10,azeite,ml,,0,0,0,0,0,0,,1,,,,,,,,,,,,,
11,passata,ml,,0,0,0,0,1,0,,,,,,,,,,,,,,,
12,caldo de vegetais,ml,,0,0,0,0,0,0,,,,,,,,,,,,,,,
13,leite,ml,,0,0,0,0,0,0,,,,1,,,,,,,,,,,
14,tagliatele,g,dose de 120g,0,0,0,0,0,0,,,,,,1,,,,,,,,,
15,alho (dentes),g,,0,0,0,0,1,0,,,,,,,,,,,,,,,
16,cebola,g,140g,0,0,0,0,1,0,,,,,,,,,,,,,,,
17,pimento vermelho,g,150g,0,0,0,0,1,0,,,,,,,,,,,,,,,
18,polpa de tomate,ml,,0,0,0,0,1,0,,,,,,,,,,,,,,,
19,caldo de vaca,ml,,0,0,0,0,0,0,,,,,,,,,,,,,,,
20,açucar,g,,0,0,0,0,0,0,,,,,,,,,1,,,,,,
21,pimenta cayena,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
22,paprika,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
23,cominho em pó,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
24,paprika fumada,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
25,alho em pó,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
26,cebola em pó,g,,0,0,0,0,0,0,,,1,,,,,,,,,,,,
27,oregãos,g,,0,0,0,0,0.1,0,,,,,,,,,,,,,,,
28,café em pó,g,,0,0,0,0,0,0,,,,,,,,2,,,,,,,
29,chocolate negro,g,,0,0,0,0,0,0,,,,,,,,,2,,,,,,
30,feijão Frade,g,,0,0,0,0,0,1,,,,,,,,,,,,,,,
31,atum (em lata),g,,0,0,1,0,0,0,,,,,,,,,,,,,,,
32,salsa,g,,0,0,0,0,1,0,,,,,,,,,,,,,,,
33,ovos,u,,0,0,0,0,0,0,,,,,1,,,,,,,,,,
